Handle	Title	Body (HTML)	Vendor	Product Category	Type	Tags	Published	Option1 Name	Option1 Value	Option1 Linked To	Option2 Name	Option2 Value	Option2 Linked To	Option3 Name	Option3 Value	Option3 Linked To	Variant SKU	Variant Grams	Variant Inventory Tracker	Variant Inventory Qty	Variant Inventory Policy	Variant Fulfillment Service	Variant Price	Variant Compare At Price	Variant Requires Shipping	Variant Taxable	Variant Barcode	Image Src	Image Position	Image Alt Text	Gift Card	SEO Title	SEO Description	Google Shopping / Google Product Category	Google Shopping / Gender	Google Shopping / Age Group	Google Shopping / MPN	Google Shopping / Condition	Google Shopping / Custom Product	Google Shopping / Custom Label 0	Google Shopping / Custom Label 1	Google Shopping / Custom Label 2	Google Shopping / Custom Label 3	Google Shopping / Custom Label 4	Age (product.metafields.custom.age)	Dressing (product.metafields.custom.dressing)	Genre (product.metafields.custom.genre)	Marque (product.metafields.custom.marque)	Saison (product.metafields.custom.saison)	Sous Titre (product.metafields.custom.sous_titre)	[Details] Coloris (product.metafields.custom._details_coloris)	[Details] Matières (product.metafields.custom._details_mati_res)	[Details] Taille (product.metafields.custom._details_taille)	[Details] État (product.metafields.custom._details_tat)	[Details] Unique (product.metafields.custom._details_unique)	Google: Custom Product (product.metafields.mm-google-shopping.custom_product)	Nombre d'évaluations de produit (product.metafields.reviews.rating_count)	Produits complémentaires (product.metafields.shopify--discovery--product_recommendation.complementary_products)	Produits associés (product.metafields.shopify--discovery--product_recommendation.related_products)	Paramètres de produits associés (product.metafields.shopify--discovery--product_recommendation.related_products_display)	Boosts de recherche de produits (product.metafields.shopify--discovery--product_search_boost.queries)	Variant Image	Variant Weight Unit	Variant Tax Code	Cost per item	Included / France	Price / France	Compare At Price / France	Included / European Union	Price / European Union	Compare At Price / European Union	Included / International	Price / International	Compare At Price / International	Status
pyjama-en-velours-village-107872	Pyjama en velours Village	Haut poignets resserrés, sérigraphie en feutrine usée, pantalon, taille élastique, sérigraphie, chevilles resserrées.	Okaïdi			Pyjama / Dors-bien, 10 ans, Garçon, Pyjama / Dors-bien 10 ans	TRUE										1317-107872-X633	0	shopify	1	deny	manual	6	6	TRUE	FALSE		IMG_00003110.jpg ; IMG_00003111.jpg ; IMG_00003112.jpg	1	Pyjama / Dors-bien, 10 ans, Garçon, Pyjama / Dors-bien 10 ans	FALSE	Pyjama en velours Village responsable pour efants	Haut poignets resserrés, sérigraphie en feutrine usée, pantalon, taille élastique, sérigraphie, chevilles resserrées.												10 ans	Pyjama / Dors-bien	Garçon	Okaïdi	Hiver	Pyjama en velours "Village" Okaïdi Garçon 10 ans	Rouge et bleu marine	Non connue	10 ans	Bon Etat	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,044	TRUE			TRUE			TRUE			draft
sous-pull-107873	Sous-pull	Col roulé.	DPAM			Tee-shirt / Polo, 10 ans, Garçon, Tee-shirt / Polo 10 ans	TRUE										2356-107873-X633	0	shopify	1	deny	manual	4,5	4,5	TRUE	FALSE		IMG_00003153.jpg ; IMG_00003154.jpg	1	Tee-shirt / Polo, 10 ans, Garçon, Tee-shirt / Polo 10 ans	FALSE	Sous-pull de seconde main pour enfants	Col roulé.												10 ans	Tee-shirt / Polo	Garçon	DPAM	Hiver	Sous-pull DPAM Garçon 10 ans	Blanc	Non connue	10 ans	Bon Etat	Chaque vêtement de seconde main est sélectionné avec soin								kg		0,522	TRUE			TRUE			TRUE			draft
pull-marin-raye-107874	Pull marin rayé	Boutonné à l'épaule, poignets et taille resserrés.	Okaïdi			Pull / Gilet / Sweat, 10 ans, Garçon, Pull / Gilet / Sweat 10 ans	TRUE										2356-107874-X633	0	shopify	1	deny	manual	8,5	8,5	TRUE	FALSE		IMG_00003113.jpg ; IMG_00003114.jpg	1	Pull / Gilet / Sweat, 10 ans, Garçon, Pull / Gilet / Sweat 10 ans	FALSE	Pull marin rayé de seconde main pour enfants	Boutonné à l'épaule, poignets et taille resserrés.												10 ans	Pull / Gilet / Sweat	Garçon	Okaïdi	Hiver	Pull marin rayé Okaïdi Garçon 10 ans	Rouge et blanc	100% coton	10 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,566	TRUE			TRUE			TRUE			draft
pull-sapin-107875	Pull Sapin	Poignets et taille resserrés.	Okaïdi			Pull / Gilet / Sweat, 10 ans, Garçon, Pull / Gilet / Sweat 10 ans	TRUE										2356-107875-X633	0	shopify	1	deny	manual	8,5	8,5	TRUE	FALSE		IMG_00003100.jpg ; IMG_00003101.jpg	1	Pull / Gilet / Sweat, 10 ans, Garçon, Pull / Gilet / Sweat 10 ans	FALSE	Pull Sapin responsable pour efants	Poignets et taille resserrés.												10 ans	Pull / Gilet / Sweat	Garçon	Okaïdi	Hiver	Pull "Sapin" Okaïdi Garçon 10 ans	Gris, rouge et noir	60% coton, 35% polyamide, 5% laine	10 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,566	TRUE			TRUE			TRUE			draft
pantalon-en-velours-107876	Pantalon en velours	Taille ajustable, fermeture éclair et bouton, 5 poches rivetées, coupe slim.	Monoprix			Pantalon / Salopette, 10 ans, Garçon, Pantalon / Salopette 10 ans	TRUE										2356-107876-X633	0	shopify	1	deny	manual	8	8	TRUE	FALSE		IMG_00003145.jpg ; IMG_00003146.jpg	1	Pantalon / Salopette, 10 ans, Garçon, Pantalon / Salopette 10 ans	FALSE	Pantalon en velours à petit prix pour enfants	Taille ajustable, fermeture éclair et bouton, 5 poches rivetées, coupe slim.												10 ans	Pantalon / Salopette	Garçon	Monoprix	Hiver	Pantalon en velours Monoprix Garçon 10 ans	Gris	98% coton, 2% élasthanne	10 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,305	TRUE			TRUE			TRUE			draft
pantalon-en-velours-107877	Pantalon en velours	Taille ajustable, fermeture éclair et bouton, 5 poches.	DPAM			Pantalon / Salopette, 10 ans, Garçon, Pantalon / Salopette 10 ans	TRUE										2356-107877-X633	0	shopify	1	deny	manual	8	8	TRUE	FALSE		IMG_00003141.jpg ; IMG_00003142.jpg	1	Pantalon / Salopette, 10 ans, Garçon, Pantalon / Salopette 10 ans	FALSE	Pantalon en velours durable pour enfants	Taille ajustable, fermeture éclair et bouton, 5 poches.												10 ans	Pantalon / Salopette	Garçon	DPAM	Hiver	Pantalon en velours DPAM Garçon 10 ans	Bleu marine	98% coton, 2% élasthanne	10 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,305	TRUE			TRUE			TRUE			draft
pantalon-de-jogging-107878	Pantalon de jogging	Taille élastique avec cordons de serrage, 2 poches, poignets resserrés.	DPAM			Vêtements de sport, 10 ans, Garçon, Vêtements de sport 10 ans	TRUE										2356-107878-X633	0	shopify	1	deny	manual	6	6	TRUE	FALSE		IMG_00003108.jpg ; IMG_00003109.jpg	1	Vêtements de sport, 10 ans, Garçon, Vêtements de sport 10 ans	FALSE	Pantalon de jogging de seconde main pour enfants	Taille élastique avec cordons de serrage, 2 poches, poignets resserrés.												10 ans	Vêtements de sport	Garçon	DPAM	Hiver	Pantalon de jogging DPAM Garçon 10 ans	Bleu	50% coton, 50% polyester	10 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,305	TRUE			TRUE			TRUE			draft
sweat-cerf-107879	Sweat Cerf	Poignets et taille resserrés, flocage, tête de cerf brodé.	Okaïdi			Pull / Gilet / Sweat, 10 ans, Garçon, Pull / Gilet / Sweat 10 ans	TRUE										2356-107879-X633	0	shopify	1	deny	manual	8,5	8,5	TRUE	FALSE		IMG_00003104.jpg ; IMG_00003105.jpg	1	Pull / Gilet / Sweat, 10 ans, Garçon, Pull / Gilet / Sweat 10 ans	FALSE	Sweat Cerf de seconde main pour enfants	Poignets et taille resserrés, flocage, tête de cerf brodé.												10 ans	Pull / Gilet / Sweat	Garçon	Okaïdi	Hiver	Sweat "Cerf" Okaïdi Garçon 10 ans	Moutarde et blanc	85% coton, 15% polyester	10 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,566	TRUE			TRUE			TRUE			draft
pantalon-de-jogging-107880	Pantalon de jogging	Taille élastique avec cordons de serrage, 2 poches, chevilles resserrées.	Vertbaudet			Vêtements de sport, 10 ans, Garçon, Vêtements de sport 10 ans	TRUE										2356-107880-X633	0	shopify	1	deny	manual	6	6	TRUE	FALSE		IMG_00003106.jpg ; IMG_00003107.jpg	1	Vêtements de sport, 10 ans, Garçon, Vêtements de sport 10 ans	FALSE	Pantalon de jogging économique pour enfants	Taille élastique avec cordons de serrage, 2 poches, chevilles resserrées.												10 ans	Vêtements de sport	Garçon	Vertbaudet	Hiver	Pantalon de jogging Vertbaudet Garçon 10 ans	Gris	62% coton, 36% polyester, 2% viscose	10 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,305	TRUE			TRUE			TRUE			draft
pull-107881	Pull	Fines côtes plates.	Okaïdi			Pull / Gilet / Sweat, 10 ans, Garçon, Pull / Gilet / Sweat 10 ans	TRUE										2356-107881-X633	0	shopify	1	deny	manual	8,5	8,5	TRUE	FALSE		IMG_00003121.jpg ; IMG_00003122.jpg	1	Pull / Gilet / Sweat, 10 ans, Garçon, Pull / Gilet / Sweat 10 ans	FALSE	Pull de seconde main pour enfants	Fines côtes plates.												10 ans	Pull / Gilet / Sweat	Garçon	Okaïdi	Hiver	Pull Okaïdi Garçon 10 ans	Jaune, noir et gris	Non connue	10 ans	Impeccable	Chaque vêtement de seconde main est sélectionné avec soin								kg		1,566	TRUE			TRUE			TRUE			draft
